File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL221200BC
Sampling Rate: 32
Start Time: 2013-02-25 15:09:04 Offset:-08
Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Time
---------------------------------------------------------
1.010,0.120,0.030,-1,29.300,1.889,15:09:04.0
1.080,0.100,0.010,-1,29.300,1.875,15:09:04.31
1.120,0.060,0.000,-1,29.300,1.886,15:09:04.62
1.160,0.020,-0.060,-1,29.300,1.882,15:09:04.93
0.740,0.000,0.080,-1,29.300,1.882,15:09:04.125
0.730,-0.120,-0.180,-1,29.300,1.882,15:09:04.156
0.790,-0.330,-0.540,-1,29.300,1.882,15:09:04.187
0.730,-0.350,-0.570,-1,29.300,1.871,15:09:04.218
0.650,-0.340,-0.510,-1,29.300,1.878,15:09:04.250
0.620,-0.370,-0.600,-1,29.300,1.867,15:09:04.281
0.670,-0.380,-0.640,-1,29.300,1.878,15:09:04.312
0.680,-0.310,-0.530,-1,29.300,1.867,15:09:04.343
0.700,-0.290,-0.520,-1,29.300,1.867,15:09:04.375
0.720,-0.350,-0.670,-1,29.300,1.867,15:09:04.406
0.710,-0.350,-0.690,-1,29.300,1.867,15:09:04.437
0.640,-0.320,-0.620,-1,29.300,1.867,15:09:04.468
0.650,-0.350,-0.640,-1,29.300,1.867,15:09:04.500
0.690,-0.370,-0.720,-1,29.300,1.867,15:09:04.531
0.570,-0.360,-0.670,-1,29.300,1.867,15:09:04.562
0.620,-0.330,-0.590,-1,29.300,1.867,15:09:04.593
0.660,-0.350,-0.710,-1,29.300,1.859,15:09:04.625
0.680,-0.390,-0.700,-1,29.300,1.859,15:09:04.656
0.600,-0.350,-0.640,-1,29.300,1.867,15:09:04.687
0.640,-0.320,-0.630,-1,29.300,1.867,15:09:04.718
0.620,-0.350,-0.660,-1,29.300,1.867,15:09:04.750
0.610,-0.380,-0.730,-1,29.300,1.859,15:09:04.781
0.640,-0.340,-0.610,-1,29.300,1.859,15:09:04.812
0.590,-0.360,-0.690,-1,29.300,1.867,15:09:04.843
0.580,-0.310,-0.850,-1,29.300,1.878,15:09:04.875
0.530,-0.460,-0.750,-1,29.300,1.871,15:09:04.906
0.380,-0.420,-0.590,-1,29.300,1.859,15:09:04.937
0.330,-0.540,-0.810,-1,29.300,1.867,15:09:04.968
0.270,-0.670,-1.000,-1,29.300,1.871,15:09:05.0
0.170,-0.660,-0.890,-1,29.300,1.859,15:09:05.31
0.270,-0.480,-0.470,-1,29.300,1.867,15:09:05.62
0.210,-0.540,-0.550,-1,29.300,1.863,15:09:05.93
0.370,-0.690,-0.870,-1,29.300,1.859,15:09:05.125
0.350,-0.600,-0.630,-1,29.300,1.859,15:09:05.156
0.310,-0.500,-0.410,-1,29.300,1.867,15:09:05.187
0.410,-0.610,-0.740,-1,29.300,1.856,15:09:05.218
0.320,-0.690,-0.770,-1,29.300,1.856,15:09:05.250
0.250,-0.650,-0.640,-1,29.300,1.856,15:09:05.281
0.300,-0.620,-0.640,-1,29.300,1.852,15:09:05.312
0.320,-0.650,-0.690,-1,29.300,1.863,15:09:05.343
0.370,-0.530,-0.650,-1,29.300,1.844,15:09:05.375
0.450,-0.730,-0.930,-1,29.300,1.852,15:09:05.406
0.250,-0.630,-0.650,-1,29.300,1.844,15:09:05.437
0.360,-0.560,-0.520,-1,29.300,1.844,15:09:05.468
0.340,-0.620,-0.690,-1,29.300,1.844,15:09:05.500
0.340,-0.680,-0.770,-1,29.300,1.844,15:09:05.531
0.300,-0.600,-0.610,-1,29.300,1.844,15:09:05.562
0.340,-0.620,-0.660,-1,29.300,1.844,15:09:05.593
0.330,-0.640,-0.700,-1,29.300,1.852,15:09:05.625
0.350,-0.620,-0.690,-1,29.300,1.841,15:09:05.656
0.450,-0.550,-0.610,-1,29.300,1.841,15:09:05.687
0.340,-0.620,-0.670,-1,29.300,1.830,15:09:05.718
0.330,-0.630,-0.740,-1,29.300,1.830,15:09:05.750
0.330,-0.600,-0.710,-1,29.300,1.826,15:09:05.781
0.320,-0.570,-0.690,-1,29.300,1.826,15:09:05.812
0.360,-0.550,-0.670,-1,29.300,1.815,15:09:05.843
0.400,-0.580,-0.770,-1,29.300,1.815,15:09:05.875
0.300,-0.550,-0.840,-1,29.300,1.815,15:09:05.906
0.340,-0.560,-0.750,-1,29.300,1.815,15:09:05.937
0.330,-0.540,-0.710,-1,29.300,1.815,15:09:05.968
0.330,-0.540,-0.720,-1,29.300,1.811,15:09:06.0
0.320,-0.580,-0.800,-1,29.300,1.815,15:09:06.31
0.330,-0.550,-0.770,-1,29.300,1.811,15:09:06.62
