File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL221200BC
Sampling Rate: 32
Start Time: 2013-02-26 19:59:52 Offset:-08
Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Time
---------------------------------------------------------
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:52.0
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.31
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.62
-0.030,0.070,-0.950,-1,25.600,0.000,19:59:52.93
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:52.125
-0.030,0.090,-0.960,-1,25.600,0.000,19:59:52.156
-0.030,0.080,-0.940,-1,25.600,0.000,19:59:52.187
-0.030,0.090,-0.960,-1,25.600,0.000,19:59:52.218
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.250
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:52.281
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.312
-0.020,0.080,-0.960,-1,25.600,0.000,19:59:52.343
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:52.375
-0.020,0.090,-0.940,-1,25.600,0.000,19:59:52.406
-0.030,0.080,-0.940,-1,25.600,0.000,19:59:52.437
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.468
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.500
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:52.531
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:52.562
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.593
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.625
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.656
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.687
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:52.718
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.750
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.781
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.812
-0.020,0.090,-0.940,-1,25.600,0.000,19:59:52.843
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.875
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:52.906
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.937
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:52.968
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:53.0
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.31
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:53.62
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.93
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.125
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.156
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:53.187
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.218
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.250
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.281
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:53.312
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.343
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.375
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:53.406
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:53.437
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.468
-0.030,0.090,-0.960,-1,25.600,0.000,19:59:53.500
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:53.531
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.562
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:53.593
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:53.625
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.656
-0.030,0.080,-0.940,-1,25.600,0.000,19:59:53.687
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.718
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:53.750
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:53.781
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.812
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.843
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.875
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:53.906
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:53.937
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:53.968
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:54.0
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:54.31
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.62
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:54.93
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.125
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.156
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.187
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:54.218
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.250
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.281
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.312
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.343
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.375
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.406
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.437
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.468
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.500
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.531
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.562
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:54.593
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.625
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.656
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.687
-0.030,0.090,-0.960,-1,25.600,0.000,19:59:54.718
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.750
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.781
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:54.812
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.843
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.875
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:54.906
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:54.937
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:54.968
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.0
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.31
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:55.62
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:55.93
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:55.125
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.156
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.187
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:55.218
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.250
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.281
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.312
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.343
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.375
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:55.406
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:55.437
-0.030,0.090,-0.940,-1,25.600,0.000,19:59:55.468
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.500
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.531
-0.030,0.090,-0.960,-1,25.600,0.000,19:59:55.562
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.593
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:55.625
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.656
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.687
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:55.718
-0.030,0.080,-0.950,-1,25.600,0.000,19:59:55.750
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.781
-0.020,0.090,-0.940,-1,25.600,0.000,19:59:55.812
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.843
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:55.875
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.906
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:55.937
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:55.968
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:56.0
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:56.31
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:56.62
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:56.93
-0.020,0.080,-0.950,-1,25.600,0.000,19:59:56.125
-0.020,0.090,-0.950,-1,25.600,0.000,19:59:56.156
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:56.187
-0.030,0.090,-0.950,-1,25.600,0.000,19:59:56.218
