File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL221200BC
Sampling Rate: 32
Start Time: 2013-02-27 16:21:41 Offset:-08
Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Time
---------------------------------------------------------
0.350,-0.390,-0.810,-1,23.500,0.159,16:21:41.0
0.350,-0.390,-0.830,-1,23.500,0.159,16:21:41.31
0.320,-0.390,-0.820,-1,23.500,0.161,16:21:41.62
0.340,-0.380,-0.830,-1,23.500,0.161,16:21:41.93
0.300,-0.390,-0.830,-1,23.500,0.161,16:21:41.125
0.290,-0.390,-0.800,-1,23.500,0.164,16:21:41.156
0.330,-0.390,-0.810,-1,23.500,0.164,16:21:41.187
0.330,-0.400,-0.800,-1,23.500,0.161,16:21:41.218
0.330,-0.410,-0.780,-1,23.500,0.161,16:21:41.250
0.300,-0.400,-0.780,-1,23.500,0.164,16:21:41.281
0.340,-0.380,-0.800,-1,23.500,0.164,16:21:41.312
0.350,-0.390,-0.830,-1,23.500,0.164,16:21:41.343
0.340,-0.390,-0.820,-1,23.500,0.164,16:21:41.375
0.290,-0.410,-0.810,-1,23.500,0.164,16:21:41.406
0.300,-0.400,-0.740,-1,23.500,0.164,16:21:41.437
0.280,-0.440,-0.850,-1,23.700,0.164,16:21:41.468
0.360,-0.430,-0.890,-1,23.500,0.164,16:21:41.500
0.300,-0.430,-0.750,-1,23.500,0.164,16:21:41.531
0.300,-0.450,-0.850,-1,23.500,0.167,16:21:41.562
0.310,-0.430,-0.850,-1,23.500,0.167,16:21:41.593
0.330,-0.420,-0.820,-1,23.500,0.167,16:21:41.625
0.320,-0.440,-0.830,-1,23.500,0.167,16:21:41.656
0.330,-0.430,-0.790,-1,23.700,0.166,16:21:41.687
0.330,-0.420,-0.780,-1,23.500,0.169,16:21:41.718
0.330,-0.420,-0.800,-1,23.500,0.169,16:21:41.750
0.320,-0.410,-0.780,-1,23.500,0.167,16:21:41.781
0.320,-0.420,-0.770,-1,23.700,0.167,16:21:41.812
0.320,-0.420,-0.790,-1,23.500,0.169,16:21:41.843
0.340,-0.440,-0.800,-1,23.700,0.169,16:21:41.875
0.330,-0.450,-0.810,-1,23.500,0.169,16:21:41.906
0.330,-0.430,-0.800,-1,23.500,0.169,16:21:41.937
0.340,-0.430,-0.790,-1,23.500,0.169,16:21:41.968
0.320,-0.430,-0.800,-1,23.500,0.169,16:21:42.0
0.330,-0.420,-0.780,-1,23.500,0.169,16:21:42.31
0.340,-0.410,-0.790,-1,23.700,0.169,16:21:42.62
0.340,-0.420,-0.800,-1,23.700,0.169,16:21:42.93
0.380,-0.420,-0.800,-1,23.500,0.169,16:21:42.125
0.320,-0.450,-0.850,-1,23.500,0.169,16:21:42.156
