  subject  Xi(1)           Xi(3)          Xi(5)            W
  1       37.559130       49.290530       61.021930       15.972470
  2       45.654290       51.584510       57.514720       15.377240
  3       40.938810       52.879780       64.820760       11.479020
  4       47.359370       55.448790       63.538220       16.889440
  5       52.705110       62.703510       72.701910       19.178340
  6       30.452310       46.340820       62.229340       11.818220
  7       43.646250       58.370030       73.093820       15.328750
  8       41.155490       49.262760       57.370030       13.208130
  9       44.151480       51.998020       59.844550       13.090430
 10       38.159650       46.594290       55.028920       10.315590
 11       37.675940       39.867320       42.058700       10.261310
 12       45.300540       54.382830       63.465110       15.598520
 13       39.369470       48.153540       56.937610       13.900920
 14       36.663710       43.751210       50.838700       13.525720
 15       53.398540       62.316440       71.234350       14.447020
 16       59.354590       62.802520       66.250450       20.158750
 17       53.139720       64.349090       75.558460       16.114490
 18       44.901730       58.824930       72.748130       15.057730
 19       41.786250       59.440230       77.094210       18.333810
 20       38.245640       48.980320       59.714990       13.772200
 21       47.235960       60.788930       74.341890       15.882300
 22       53.571270       67.708060       81.844860       18.253550
 23       35.542900       43.510950       51.479000       10.145410
 24       37.543520       50.248820       62.954120        9.461730
 25       37.065520       49.707010       62.348510       15.814920
 26       32.398090       44.689060       56.980030       11.604630
 27       45.216440       62.076580       78.936720       14.077550
 28       35.671760       47.421170       59.170580       12.186710
 29       38.301750       51.134650       63.967540       14.072240
 30       52.613470       55.517540       58.421610       16.679830
 31       38.362050       48.490300       58.618560       15.071560
 32       45.139850       51.435610       57.731370       13.942930
 33       53.819050       64.274460       74.729870       20.399220
 34       49.455840       61.424760       73.393680       15.996710
 35       56.285520       59.042180       61.798830       17.467350
 36       49.588300       57.577850       65.567410       17.296230
 37       41.448820       59.431220       77.413640       15.857430
 38       47.417680       57.421590       67.425480       18.946520
 39       56.998030       65.732350       74.466660       18.896400
 40       41.060790       43.543620       46.026450       13.790020
