Row      X       Y        Z
  1   9.0212  84.6627   8.6171
  2   5.2538  85.7456   7.3477
  3   6.5207  85.1347   7.3531
  4   7.2431  86.1643   9.1862
  5   7.5461  89.3024   9.5189
  6   9.0210  88.7147  12.0136
  7   8.3726  86.4755  10.0230
  8   7.1911  88.0138   9.5797
  9  10.0137  89.1816  12.6738
 10   5.3736  84.9516   6.8683
 11  11.0974  89.6058  12.3068
 12   7.9195  86.1434  10.1863
 13   7.8415  86.0734   9.8743
 14  11.4073  91.8612  13.6939
 15  12.0733  88.3301  12.9291
 16   9.9289  88.1292  11.9946
 17   8.1698  88.4382  10.9764
 18   7.1619  87.6612  10.5144
 19   6.8630  86.4479   9.6304
 20   8.5959  88.0485  10.7310
 21   6.4488  84.5818   8.1024
 22   7.1632  87.5248  10.3337
 23   3.0688  85.1612   7.3740
 24   7.2027  86.1984   8.6081
 25   6.5500  85.6579   8.8006
 26   7.5967  86.5576   9.6634
 27   7.5950  86.1207   8.3186
 28  11.5465  89.3447  13.0802
 29   6.6970  85.6474   6.3297
 30   6.6525  84.6865   8.6335
 31   6.2913  84.2773   7.0406
 32   5.1816  84.3297   6.2774
 33   6.5507  86.9395  10.1587
 34   5.6970  85.8757   8.4053
 35   8.6243  86.5366   9.9835
 36   9.7497  88.7193  11.6969
 37   9.5877  90.5493  13.2135
 38   5.8931  85.9084   7.8613
 39  12.7624  89.8823  14.0196
 40  10.0226  89.0170  12.4061
 41   8.9119  87.4125  11.0488
 42  11.1444  88.6123  12.2295
 43   7.3012  85.7531   9.3443
 44   5.9883  86.7767  10.2305
 45   7.6093  87.7501   8.9490
 46   8.7703  87.7138  10.7560
 47   7.8032  87.8862   9.9443
 48  10.7217  90.1479  14.1238
 49   5.2494  84.5584   8.3379
 50   8.9764  87.2774  12.0931
 51   8.3849  86.2232  10.5416
 52   8.6081  87.4158  11.7202
 53   8.8871  86.9935  10.3284
 54   8.7269  88.8683  11.2838
 55   8.8410  85.7579   9.6485
 56   6.6962  88.0010   8.7865
 57  10.1554  88.0220  10.9067
 58  11.1203  86.6664  13.2074
 59  12.9841  90.2776  15.3170
 60   7.5932  86.7685   9.1095
 61   9.0288  89.8605  12.0329
 62  10.4784  89.5776  14.5848
 63  11.4204  90.0289  13.6982
 64   7.1885  88.0499  10.0004
 65   6.2022  85.8224   8.0043
 66   7.9289  87.9744   9.9819
 67   9.8591  89.2717  11.7178
 68   9.9081  87.7020  11.7360
 69   6.6107  84.1002   7.8847
 70   9.8365  87.7949  11.4140
 71   8.7290  87.9023  11.6513
 72   7.4914  87.1108   9.7582
 73   7.6773  86.2681   9.8398
 74   6.1195  84.5499   6.7605
 75   6.8257  86.0817   8.9163
 76   9.6898  86.6979  10.8215
 77   9.1025  88.1930  11.8133
 78   6.0022  84.5501   8.9034
 79   6.8042  85.7458   8.6374
 80   5.3521  87.2153   9.6195
 81   7.7924  87.9349   9.4538
 82   6.6512  87.3632  10.8286
 83   7.3747  86.1124   9.4795
 84   7.6636  83.1105   9.2179
 85   9.3188  89.4198  11.7035
 86   5.1568  85.1249   6.3330
 87   8.7670  86.2721   9.8406
 88   5.4504  86.6124   7.2781
 89   9.3781  87.9577  11.9744
 90   7.1295  88.0978  10.6290
 91   3.9848  87.0559   7.6392
 92   8.9921  86.7763  10.9617
 93   8.0228  89.2983  10.5134
 94   8.2127  86.4980   9.9726
 95   7.2126  87.6937   9.2254
 96   7.1183  85.8024   8.6688
 97   8.6755  88.0529   9.6548
 98   7.6840  86.9696   9.9541
 99  10.2886  86.1218  11.1020
100   9.7024  87.3195  11.5858
